_id,Year,MUNO,forest_name,Product_Type,Spp_Group1,Spp_Group3,Volume
294,2018,451,Algonquin (451),Other,Other Hardwood,Hardwood,89.77200317
295,2018,451,Algonquin (451),Other,Other Hardwood,Hardwood,3.993999958
296,2018,451,Algonquin (451),Other,Poplar,Poplar/Birch,754.9849854
297,2018,451,Algonquin (451),Other,White Pine,Red/White Pine,171.6009979
298,2018,451,Algonquin (451),Other,Red Pine,Red/White Pine,11.14000034
299,2018,451,Algonquin (451),Other,White Pine,Red/White Pine,878.9450073
300,2018,451,Algonquin (451),Other,Red Pine,Red/White Pine,100.2020035
301,2018,451,Algonquin (451),Other,White Birch,Poplar/Birch,19.85899925
302,2018,451,Algonquin (451),Paper,Jack Pine,SPF,0.340999991
303,2018,451,Algonquin (451),Paper,Spruce,SPF,60.98600006
304,2018,451,Algonquin (451),Paper,Balsam Fir,SPF,42.00500107
305,2018,451,Algonquin (451),Paper,Other Softwood,Other Softwood,0.155000001
306,2018,451,Algonquin (451),Paper,Other Softwood,Other Softwood,113.2549973
307,2018,451,Algonquin (451),Paper,White Pine,Red/White Pine,46.74000168
308,2018,451,Algonquin (451),Paper,Red Pine,Red/White Pine,3.214999914
309,2018,451,Algonquin (451),Paper,White Pine,Red/White Pine,303.7369995
310,2018,451,Algonquin (451),Paper,Red Pine,Red/White Pine,13.35299969
311,2018,451,Algonquin (451),Pulp,Jack Pine,SPF,2.220999956
312,2018,451,Algonquin (451),Pulp,Spruce,SPF,341.7550049
313,2018,451,Algonquin (451),Pulp,Balsam Fir,SPF,115.7149963
314,2018,451,Algonquin (451),Pulp,Other Softwood,Other Softwood,1.011999965
315,2018,451,Algonquin (451),Pulp,Other Softwood,Other Softwood,1142.718994
316,2018,451,Algonquin (451),Pulp,Maple,Hardwood,7547.288086
317,2018,451,Algonquin (451),Pulp,Yellow Birch,Hardwood,577.7379761
318,2018,451,Algonquin (451),Pulp,Oak,Hardwood,6.843999863
319,2018,451,Algonquin (451),Pulp,Other Hardwood,Hardwood,1435.324951
320,2018,451,Algonquin (451),Pulp,Other Hardwood,Hardwood,0.116999999
321,2018,451,Algonquin (451),Pulp,Other Hardwood,Hardwood,21.33300018
322,2018,451,Algonquin (451),Pulp,Other Hardwood,Hardwood,0.003
323,2018,451,Algonquin (451),Pulp,Other Hardwood,Hardwood,5.163000107
324,2018,451,Algonquin (451),Pulp,Maple,Hardwood,46094.85547
325,2018,451,Algonquin (451),Pulp,Yellow Birch,Hardwood,2439.844971
326,2018,451,Algonquin (451),Pulp,Oak,Hardwood,1144.628052
327,2018,451,Algonquin (451),Pulp,Other Hardwood,Hardwood,7505.356934
328,2018,451,Algonquin (451),Pulp,Other Hardwood,Hardwood,8.104999542
329,2018,451,Algonquin (451),Pulp,Other Hardwood,Hardwood,41.93899918
330,2018,451,Algonquin (451),Pulp,Other Hardwood,Hardwood,0.028000001
331,2018,451,Algonquin (451),Pulp,Other Hardwood,Hardwood,100.6449966
332,2018,451,Algonquin (451),Pulp,Poplar,Poplar/Birch,32564.77734
333,2018,451,Algonquin (451),Pulp,White Pine,Red/White Pine,463.1659851
334,2018,451,Algonquin (451),Pulp,Red Pine,Red/White Pine,17.16799927
335,2018,451,Algonquin (451),Pulp,White Pine,Red/White Pine,2917.465088
336,2018,451,Algonquin (451),Pulp,Red Pine,Red/White Pine,135.5039978
337,2018,451,Algonquin (451),Pulp,White Birch,Poplar/Birch,3005.291016
338,2018,451,Algonquin (451),Sawmill,Jack Pine,SPF,1356.368042
339,2018,451,Algonquin (451),Sawmill,Spruce,SPF,9840.323242
340,2018,451,Algonquin (451),Sawmill,Balsam Fir,SPF,892.2849731
341,2018,451,Algonquin (451),Sawmill,Other Softwood,Other Softwood,17.6060009
342,2018,451,Algonquin (451),Sawmill,Other Softwood,Other Softwood,13346.52734
343,2018,451,Algonquin (451),Sawmill,Other Softwood,Other Softwood,369.3349915
344,2018,451,Algonquin (451),Sawmill,Maple,Hardwood,46026.52344
345,2018,451,Algonquin (451),Sawmill,Yellow Birch,Hardwood,2629.822021
346,2018,451,Algonquin (451),Sawmill,Oak,Hardwood,2815.873047
347,2018,451,Algonquin (451),Sawmill,Other Hardwood,Hardwood,5265.625
348,2018,451,Algonquin (451),Sawmill,Other Hardwood,Hardwood,67.36199951
349,2018,451,Algonquin (451),Sawmill,Other Hardwood,Hardwood,187.2079926
